layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
background1,0,0,300,600,out2
texto2,467,22,261,26,out2
legal1,591,5,65,5,out2
linea1,301,0,300,11,out2
background2,0,0,300,600,out2
texto3,460,24,166,33,out2
legal2,592,5,92,5,out2
linea2,298,0,300,113,out2
background3,0,0,300,600,out2
texto4,467,23,188,26,out2
linea3,361,0,300,64,out2
background4,0,0,300,600,out2
cta,519,24,115,43,out2
texto5,467,26,164,25,out2
linea4,191,0,300,224,out2
legal3,591,8,82,5,out2
background5,0,0,300,600,out2
texto1,446,24,60,14,out2
evt,591,265,33,5,out2
logo_despegar,24,26,125,154,out2
