layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
background1,0,0,300,600,out2
texto2,467,22,263,26,out2
legal1,591,4,66,5,out2
linea1,301,0,300,11,out2
background2,0,0,300,600,out2
texto3,460,24,166,33,out2
legal2,592,5,93,5,out2
linea2,298,0,300,113,out2
background3,0,0,300,600,out2
texto4,467,23,189,26,out2
linea3,361,0,300,64,out2
background4,0,0,300,600,out2
texto5,467,24,167,25,out2
legal3,590,5,95,5,out2
linea4,150,0,300,248,out2
background5,0,0,300,600,out2
texto1,446,24,60,14,out2
logo_despegar,24,26,125,154,out2
