layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
logo_despegar,15,21,105,131,out1
logo_hotsale,178,21,85,15,out1
logo_camara,506,247,42,42,out1
linea,318,188,1,45,out1
logo4,328,195,73,23,out1
texto5,350,43,86,6,out1
texto6,347,138,41,14,out1
logo1,316,46,35,27,out1
logo2,316,95,28,28,out1
logo3,320,139,42,19,out1
codo3_300x600,171,19,434,196,out1
texto1,205,20,30,10,out1
texto2,223,20,86,67,out1
texto3,238,113,166,50,out1
texto4,388,21,189,34,out1
evt,506,7,7,44,out1
cft,580,23,203,18,out1
background1,443,0,300,157,out1
background_color1,0,0,300,600,out1
