layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
fondo_color,0,0,300,600,estilo1_artif_out_4.csv
logo_chico_cuadrado,395.26785579510033,4.248538613319397,54,54,estilo1_artif_out_4.csv
logo_chico_cuadrado,248.61030606552958,22.327180998399854,108,108,estilo1_artif_out_4.csv
logo_chico_cuadrado,569.6882230695337,26.31365591660142,54,54,estilo1_artif_out_4.csv
logo_chico_cuadrado,472.568081645295,288.3783938828856,108,108,estilo1_artif_out_4.csv
logo_chico_cuadrado,42.148348269984126,266.8645703466609,54,54,estilo1_artif_out_4.csv
logo_chico_cuadrado,498.4469933900982,214.54874868504703,108,108,estilo1_artif_out_4.csv
logo_chico_cuadrado,40.202310774475336,213.89338199514896,54,54,estilo1_artif_out_4.csv
logo_chico_cuadrado,61.23227966018021,290.82757097203285,108,108,estilo1_artif_out_4.csv
logo_chico_cuadrado,211.39387479051948,94.63747325353324,54,54,estilo1_artif_out_4.csv
logo_chico_rectangular,140.75031001120806,211.9030873524025,81,27,estilo1_artif_out_4.csv
logo_chico_cuadrado,318.245999654755,68.62409929744899,54,54,estilo1_artif_out_4.csv
logo_chico_rectangular,525.283298548311,193.0244845803827,81,27,estilo1_artif_out_4.csv
