layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
fondo_color,0,0,300,600,estilo3_artif_out_6.csv
logo_chico_cuadrado,187.25931197404861,280.54349762387574,54,54,estilo3_artif_out_6.csv
logo_chico_cuadrado,116.60886202007532,243.641648394987,108,108,estilo3_artif_out_6.csv
logo_chico_cuadrado,135.6634195894003,221.6418459545821,54,54,estilo3_artif_out_6.csv
logo_chico_cuadrado,148.23804264888167,128.27730586286634,108,108,estilo3_artif_out_6.csv
logo_chico_cuadrado,456.17899163626134,15.486043528653681,54,54,estilo3_artif_out_6.csv
logo_chico_cuadrado,492.7803799510002,156.01631712634116,108,108,estilo3_artif_out_6.csv
logo_chico_cuadrado,39.820906380191445,188.42513517010957,54,54,estilo3_artif_out_6.csv
logo_chico_cuadrado,84.5273818820715,220.9679403807968,108,108,estilo3_artif_out_6.csv
logo_chico_cuadrado,234.89212109707296,81.29856185987592,54,54,estilo3_artif_out_6.csv
logo_chico_rectangular_fino,566.6425494477153,48.33732275292277,270,6.75,estilo3_artif_out_6.csv
logo_chico_cuadrado,61.72362836077809,229.66277261730283,54,54,estilo3_artif_out_6.csv
logo_chico_rectangular_fino,65.44761811383069,239.13649558089674,270,6.75,estilo3_artif_out_6.csv
