layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
logo_despegar,189,32,52,69,out6
legal,561,30,240,24,out6
texto4,288,33,93,11,out6
icono1,285,12,16,13,out6
texto5,300,34,153,38,out6
icono2,357,12,16,12,out6
texto6,354,32,28,14,out6
icono3,378,13,13,12,out6
texto7,376,32,111,32,out6
icono4,420,12,16,10,out6
texto8,418,32,60,13,out6
texto9,466,144,123,33,out6
codo_160x600,302,131,285,209,out6
background2,0,0,300,600,out6
texto1,292,32,111,89,out6
texto2,395,31,85,18,out6
texto3,461,150,115,37,out6
cta,534,146,108,40,out6
codo_160x600,302,131,285,209,out6
background1,0,0,300,600,out6
