layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
background1,0,0,300,600,out1
texto2,467,22,263,26,out1
legal1,591,4,66,5,out1
linea1,301,0,300,11,out1
background2,0,0,300,600,out1
texto3,460,24,166,33,out1
legal2,592,5,93,5,out1
linea2,298,0,300,113,out1
background3,0,0,300,600,out1
texto4,467,23,189,26,out1
linea3,361,0,300,64,out1
background4,0,0,300,600,out1
cta,524,23,96,36,out1
texto5,467,24,167,25,out1
legal3,590,5,95,5,out1
linea4,150,0,300,248,out1
background5,0,0,300,600,out1
texto1,446,24,60,14,out1
logo_despegar,24,26,125,154,out1
rnt,592,263,33,5,out1
