layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
logo_despegar,25,22,94,116,out3
cta,503,38,110,42,out3
logo_outlet,172,21,211,73,out3
texto5,263,24,145,18,out3
background4,0,0,300,600,out3
logo_outlet,172,21,211,73,out3
texto4,263,23,113,14,out3
background3,0,0,300,600,out3
icono1,177,16,23,20,out3
texto1,180,47,94,21,out3
texto3,201,45,152,34,out3
promo2,277,133,146,52,out3
placa1,209,106,194,129,out3
background2,0,0,300,600,out3
icono1,177,16,23,20,out3
texto1,180,47,94,21,out3
texto2,208,46,194,27,out3
promo1,277,133,141,52,out3
placa1,209,106,194,129,out3
background1,0,0,300,600,out3
