layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
fondo_color,0,0,300,600,estilo2_artif_out_8.csv
logo_chico_cuadrado,104.97163133695722,233.83252671919763,27,27,estilo2_artif_out_8.csv
logo_chico_cuadrado,287.9932560492307,295.8395598689094,108,108,estilo2_artif_out_8.csv
logo_chico_cuadrado,246.2667390704155,40.46272337436676,27,27,estilo2_artif_out_8.csv
logo_chico_cuadrado,12.012087414041162,190.03159808926284,108,108,estilo2_artif_out_8.csv
logo_chico_cuadrado,31.274197530001402,113.77674797549844,27,27,estilo2_artif_out_8.csv
logo_chico_cuadrado,138.14453836530447,93.16398510709405,108,108,estilo2_artif_out_8.csv
logo_chico_cuadrado,583.3250633440912,96.3521535275504,27,27,estilo2_artif_out_8.csv
logo_chico_cuadrado,491.9988362118602,243.93762841355056,108,108,estilo2_artif_out_8.csv
logo_chico_cuadrado,436.9776906911284,220.45516341459006,54,54,estilo2_artif_out_8.csv
logo_chico_rectangular,131.49035079404712,9.359598183073103,81,27,estilo2_artif_out_8.csv
logo_chico_cuadrado,365.25959065183997,82.96813638880849,54,54,estilo2_artif_out_8.csv
logo_chico_rectangular,409.5440528355539,54.11570810247213,81,27,estilo2_artif_out_8.csv
logo_chico_cuadrado,453.48836802877486,245.98632843699306,54,54,estilo2_artif_out_8.csv
logo_chico_rectangular,593.4577231295407,204.65000609401613,81,27,estilo2_artif_out_8.csv
