layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
linea,233,175,1,31,out4
logo2,234,80,26,26,out4
texto5,239,112,55,18,out4
logo1,241,28,43,13,out4
logo_camara,540,249,34,34,out4
logo4,282,23,159,35,out4
logo_hotsale,112,23,85,15,out4
logo3,234,186,68,29,out4
codo1,109,19,388,159,out4
placa1,227,18,254,41,out4
texto2,163,22,69,54,out4
texto3,176,97,133,40,out4
texto1,144,23,35,12,out4
logo_despegar,31,22,197,55,out4
evt,588,246,41,6,out4
cft,578,22,196,18,out4
background1,359,0,300,241,out4
background_color1,0,0,300,600,out4
