layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
background1,0,0,300,600,out9
texto2,467,22,263,26,out9
legal1,591,4,66,5,out9
linea1,301,0,300,11,out9
background2,0,0,300,600,out9
texto3,460,24,166,33,out9
legal2,592,5,93,5,out9
linea2,298,0,300,113,out9
background3,0,0,300,600,out9
texto4,467,23,189,26,out9
linea3,361,0,300,64,out9
background4,0,0,300,600,out9
texto5,467,24,167,25,out9
legal3,590,5,95,5,out9
linea4,150,0,300,248,out9
background5,0,0,300,600,out9
texto1,446,24,60,14,out9
logo_despegar,24,26,125,154,out9
