layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
logo_despegar,15,21,105,131,out4
logo_hotsale,178,21,85,15,out4
logo_camara,506,247,42,42,out4
linea,318,188,1,45,out4
logo4,328,195,73,23,out4
texto5,350,43,86,6,out4
texto6,347,138,41,14,out4
logo1,316,46,35,27,out4
logo2,316,95,28,28,out4
logo3,320,139,42,19,out4
codo3_300x600,171,19,434,196,out4
texto1,205,20,30,10,out4
texto2,223,20,86,67,out4
texto3,238,113,166,50,out4
texto4,388,21,189,34,out4
evt,506,7,7,44,out4
cft,580,23,203,18,out4
background1,443,0,300,157,out4
background_color1,0,0,300,600,out4
