layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
logo_despegar,189,32,52,69,out3
legal,561,30,240,24,out3
texto4,288,33,93,11,out3
icono1,285,12,16,13,out3
texto5,300,34,153,38,out3
icono2,357,12,16,12,out3
texto6,354,32,28,14,out3
icono3,378,13,13,12,out3
texto7,376,32,111,32,out3
icono4,420,12,16,10,out3
texto8,418,32,60,13,out3
texto9,466,144,123,33,out3
codo_160x600,302,131,285,209,out3
background2,0,0,300,600,out3
texto1,292,32,111,89,out3
texto2,395,31,85,18,out3
texto3,461,150,115,37,out3
cta,534,146,108,40,out3
codo_160x600,302,131,285,209,out3
background1,0,0,300,600,out3
