layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
fondo_color,0,0,300,600,estilo2_artif_out_9.csv
logo_chico_cuadrado,479.55845897085965,248.19082010071725,27,27,estilo2_artif_out_9.csv
logo_chico_cuadrado,206.93755284883082,272.2633762517944,108,108,estilo2_artif_out_9.csv
logo_chico_cuadrado,532.8382444102317,202.7021742425859,27,27,estilo2_artif_out_9.csv
logo_chico_cuadrado,10.111608915030956,76.92942840512842,108,108,estilo2_artif_out_9.csv
logo_chico_cuadrado,453.7895395886153,196.22856499627233,27,27,estilo2_artif_out_9.csv
logo_chico_cuadrado,29.815444070845842,224.70708244945854,108,108,estilo2_artif_out_9.csv
logo_chico_cuadrado,315.59124682098627,27.834549103863537,27,27,estilo2_artif_out_9.csv
logo_chico_cuadrado,302.9091380070895,123.30698675941676,108,108,estilo2_artif_out_9.csv
logo_chico_cuadrado,340.8553100656718,297.800142550841,54,54,estilo2_artif_out_9.csv
logo_chico_rectangular,64.875473594293,181.35984255932271,81,27,estilo2_artif_out_9.csv
logo_chico_cuadrado,94.40734670497477,174.74964084103703,54,54,estilo2_artif_out_9.csv
logo_chico_rectangular,382.71273714490235,125.68593788892031,81,27,estilo2_artif_out_9.csv
logo_chico_cuadrado,128.90824335627258,67.1984656015411,54,54,estilo2_artif_out_9.csv
logo_chico_rectangular,178.665587073192,68.93842925783247,81,27,estilo2_artif_out_9.csv
